eta,event_id,generation,m,p,particle,particle_id,particle_type,phi,process,pt,px,py,pz,q,sub_particle,vertex_primary,vertex_secondary,vt,vx,vy,vz,
2.9846463203430176,1147,0,0.10565836727619171,98.76631927490234,1,4503599644147712,13,0.4490172266960144,0,9.961270332336426,8.973851203918457,4.3239922523498535,98.26270294189453,-1.0,0,1,0,0.16328351199626923,-0.01272562239319086,-0.002497478388249874,-112.38433074951172,
-1.66970956325531,1148,0,0.10565836727619171,12.330458641052246,1,4503599644147712,13,1.8712130784988403,0,4.484677791595459,-1.3270986080169678,4.283823490142822,-11.48598575592041,-1.0,0,1,0,-2.1689209938049316,0.01671789400279522,-0.015992403030395508,41.585453033447266,
-2.41849422454834,1149,0,0.10565836727619171,33.26395034790039,1,4503599644147712,-13,-0.4053429067134857,0,5.87806510925293,5.401749134063721,-2.317920446395874,-32.740474700927734,1.0,0,1,0,2.1480913162231445,0.0018398005049675703,0.006610014941543341,18.8883113861084,
3.8327856063842773,1150,0,0.10565836727619171,196.4542999267578,1,4503599644147712,13,-2.526165008544922,0,8.502181053161621,-6.942256927490234,-4.908374786376953,196.27023315429688,-1.0,0,1,0,-0.27735328674316406,-0.000618992664385587,-0.015548023395240307,24.6088809967041,
1.2795168161392212,1151,0,0.10565836727619171,15.551383018493652,1,4503599644147712,13,0.08634830266237259,0,8.030511856079102,8.000593185424805,0.6925597190856934,13.317522048950195,-1.0,0,1,0,-0.535463273525238,0.0115746995434165,-0.003244559047743678,-98.52183532714844,
-3.3461194038391113,1152,0,0.10565836727619171,17.689815521240234,1,4503599644147712,13,-2.151217222213745,0,1.244553804397583,-0.682483434677124,-1.0407356023788452,-17.64598274230957,-1.0,0,1,0,-4.380880355834961,-0.0029638982377946377,0.000997664756141603,-98.6590805053711,
-2.1680543422698975,1153,0,0.10565836727619171,22.65325164794922,1,4503599644147712,13,-2.4901983737945557,0,5.11610746383667,-4.06852912902832,-3.101874351501465,-22.067970275878906,-1.0,0,1,0,-0.23353566229343414,-0.0013236873783171177,0.01187033299356699,22.0677490234375,
-2.93986439704895,1154,0,0.10565836727619171,56.76943588256836,1,4503599644147712,-13,2.9348645210266113,0,5.986393451690674,-5.85892915725708,1.228760004043579,-56.452919006347656,1.0,0,1,0,-7.20366907119751,0.016484038904309273,0.0037421719171106815,17.101890563964844,
-3.3096415996551514,1155,0,0.10565836727619171,19.896574020385742,1,4503599644147712,13,1.9443591833114624,0,1.4516773223876953,-0.5297677516937256,1.3515596389770508,-19.843544006347656,-1.0,0,1,0,-5.519400596618652,0.017591625452041626,0.003975170664489269,59.663082122802734,
-0.06241701915860176,1156,0,0.10565836727619171,8.208124160766602,1,4503599644147712,-13,-1.7892872095108032,0,8.192161560058594,-1.7757052183151245,-7.997398376464844,-0.5116623640060425,1.0,0,1,0,-3.8568949699401855,-0.0004623449349310249,0.021211767569184303,1.8824279308319092,
